1;2
2;0
3;2
4;1
5;3
6;4
7;3
8;4
9;7
10;8
11;9
12;11
13;12
14;11
15;15
16;15
17;17
18;21
19;49
20;43
21;54
22;63
23;75
24;85
25;97
26;113
27;129
28;135
29;147
30;149
31;149
32;123
33;129
34;127
35;122
36;143
37;157
38;144
39;139
40;123
41;117
42;141
43;138
44;124
45;134
46;158
47;151
48;136
49;133
50;121
51;117
52;121
53;125
54;117
55;111
56;98
57;94
58;92
59;89
60;73
61;87
62;91
63;88
64;94
65;90
66;93
67;76
68;60
69;96
70;71
71;80
72;71
73;63
74;65
75;47
76;74
77;63
78;78
79;68
80;55
81;48
82;51
83;45
84;48
85;50
86;71
87;48
88;35
89;51
90;69
91;62
92;64
93;66
94;51
95;59
96;58
97;34
98;57
99;56
100;63
101;50
102;57
103;63
104;81
105;64
106;70
107;59
108;63
109;75
110;72
111;70
112;74
113;81
114;78
115;75
116;71
117;107
118;113
119;115
120;120
121;87
122;120
123;115
124;116
125;119
126;121
127;133
128;134
129;109
130;125
131;144
132;162
133;147
134;141
135;148
136;154
137;148
138;163
139;160
140;200
141;153
142;221
143;142
144;188
145;194
146;203
147;179
148;199
149;198
150;183
151;188
152;209
153;217
154;229
155;219
156;221
157;215
158;195
159;216
160;212
161;235
162;196
163;226
164;197
165;216
166;208
167;215
168;212
169;185
170;174
171;156
172;132
173;163
174;189
175;184
176;188
177;174
178;169
179;161
180;147
181;165
182;168
183;153
184;139
185;112
186;126
187;141
188;133
189;125
190;119
191;117
192;112
193;110
194;103
195;109
196;101
197;125
198;129
199;118
200;110
201;139
202;117
203;132
204;127
205;129
206;115
207;116
208;128
209;156
210;140
211;179
212;176
213;144
214;166
215;183
216;177
217;178
218;184
219;175
220;207
221;172
222;195
223;190
224;207
225;183
226;211
227;187
228;179
229;211
230;235
231;227
232;239
233;230
234;210
235;195
236;251
237;272
238;254
239;279
240;256
241;265
242;253
243;252
244;337
245;322
246;312
247;304
248;335
249;335
250;296
251;337
252;346
253;415
254;399
255;365
256;386
257;434
258;440
259;422
260;419
261;406
262;424
263;423
264;459
265;458
266;453
267;462
268;457
269;461
270;452
271;459
272;486
273;482
274;480
275;476
276;479
277;431
278;475
279;453
280;483
281;469
282;482
283;406
284;391
285;389
286;371
287;382
288;362
289;358
290;347
291;321
292;294
293;284
294;323
295;295
296;284
297;232
298;221
299;247
300;251
301;223
302;213
303;212
304;178
305;175
306;177
307;191
308;187
309;153
310;152
311;132
312;134
313;119
314;121
315;132
316;149
317;128
318;114
319;101
320;102
321;110
322;98
323;82
324;103
325;85
326;82
327;71
328;91
329;98
330;97
331;81
332;83
333;96
334;86
